Archer_Women,Total_score,1st_Half,2nd_Half,Xs
Park Sung-Hyun (KOR),673,336,337,12
Yun Ok-Hee (KOR),667,336,331,14
Joo Hyun-Jung (KOR),664,339,325,10
Khatuna Narimanidze (GEO),663,330,333,12
Kwon Un Sil (PRK),656,324,332,9
Yuan Shu Chi (TPE),652,334,318,7
Alison Williamson (GBR),651,325,326,3
Naomi Folkard (GBR),651,329,322,6
Nami Hayakawa (JPN),649,326,323,9
Ana Rendón (COL),647,319,328,6
Natalia Erdyniyeva (RUS),647,324,323,11
Aida Román (MEX),646,319,327,5
Małgorzata Ćwienczek (POL),645,323,322,10
Bérengère Schuh (FRA),645,323,322,9
Chen Ling (CHN),645,330,315,7
Zekiye Keskin Satir (TUR),644,317,327,6
Kristine Esebua (GEO),643,332,311,5
Natalia Sánchez (COL),643,328,315,5
Justyna Mospinek (POL),643,321,322,6
Mariana Avitia (MEX),641,328,313,6
Viktoriya Koval (UKR),641,318,323,6
Laishram Bombaya Devi (IND),637,319,318,9
Miroslava Dagbaeva (RUS),637,318,319,2
Jennifer Nichols (USA),637,320,317,6
Guo Dan (CHN),636,322,314,8
Khatuna Lorig (USA),635,319,316,9
Zhang Juanjuan (CHN),635,323,312,10
Jane Waller (AUS),634,312,322,7
Wu Hui Ju (TPE),634,320,314,5
Natalia Valeeva (ITA),634,316,318,2
Dola Banerjee (IND),633,319,314,8
Sophie Dodemont (FRA),632,313,319,2
Anja Hitzler (GER),629,318,311,7
Marie-Pier Beaudet (CAN),628,319,309,6
Anastassiya Bannova (KAZ),628,320,308,6
Leidys Brito (VEN),628,311,317,3
Pranitha Vardhineni (IND),627,321,306,3
Tetyana Berezhna (UKR),627,314,313,5
Virginie Arnold (FRA),626,310,316,7
Charlotte Burgess (GBR),623,312,311,3
Ika Yuliana Rochmawati (INA),621,313,308,4
Rina Dewi Puspitasari (INA),620,317,303,6
Iwona Marcinkiewicz (POL),620,308,312,5
Barbora Horč_kovč (CZE),620,313,307,4
Son Hye Yong (PRK),618,308,310,4
Sayoko Kitabatake (JPN),616,317,299,5
Katsiaryna Muliuk (BLR),616,311,305,2
Yuki Hayashi (JPN),616,306,310,4
Elpida Romantzi (GRE),614,309,305,5
Evangelia Psarra (GRE),613,308,305,9
Pia Carmen Lionetti (ITA),613,310,303,7
Louise Laursen (DEN),605,295,310,5
Veronique D'Unienville (MRI),605,304,301,3
Nathalie Dielen (SUI),601,289,312,4
Elena Tonetta (ITA),595,300,295,6
Elena Mousikou (CYP),589,293,296,4
Soha Abed Elaal (EGY),587,289,298,1
Wei Pi-Hsiu (TPE),585,291,294,1
Lexie Feeney (AUS),580,294,286,4
Najmeh Abtin (IRI),568,278,290,6
Dorji Dema (BHU),567,283,284,2
Sigrid Romero (COL),551,279,272,1
Albina Kamaletdinova (TJK),547,294,253,7
Khadija Abbouda (MAR),539,270,269,4
